version	locus	quality	PC	mode	minus_log10_pvalue_corr	beta	precision	recall	precision_SC	recall_SC	PC_abundance	locus_abundance	PC_freq	TP	FN	TN	FP	specificity	accuracy	F1_score	MCC	TP_SC	FN_SC	TN_SC	FP_SC	specificity_SC	accuracy_SC	F1_score_SC	MCC_SC	pvalue	n_PC_tested	pvalue_corr	minus_log10_pvalue	precision_CI5_LOWER	precision_MEDIAN	precision_CI95_UPPER	recall_CI5_LOWER	recall_MEDIAN	recall_CI95_UPPER	precision_SC_CI5_LOWER	precision_SC_MEDIAN	precision_SC_CI95_UPPER	recall_SC_CI5_LOWER	recall_SC_MEDIAN	recall_SC_CI95_UPPER	F1_score_num
PCI80C80	KL47	hq	PC1327	lasso	inf	0.397	1.0	0.36	1.0	0.36	5	14	0.00202	5.0	9.0	2464.0	0.0	1.0	1.0	0.53	0.6	4.0	7.0	538.0	0.0	1.0	0.99	0.53	0.6	0.0	1587	0.0	inf	1.0	1.0	1.0	0.268	0.33	0.452	1.0	1.0	1.0	0.25	0.33	0.443	0.53
PCI00C50	KL48	hq	PC0731	lasso			0.5	0.17	0.33	0.1	4	12	0.00161	2.0	10.0	2464.0	2.0	1.0	1.0	0.25	0.29	1.0	9.0	537.0	2.0	1.0	0.98	0.15	0.17		824			0.0	0.5	0.703	0.0	0.17	0.294	0.0	0.33	0.55	0.0	0.12	0.2	0.25
PCI00C80	KL48	hq	PC0905	lasso	inf	1.98	0.5	0.17	0.33	0.1	4	12	0.00161	2.0	10.0	2464.0	2.0	1.0	1.0	0.25	0.29	1.0	9.0	537.0	2.0	1.0	0.98	0.15	0.17	0.0	998	0.0	inf	0.314	0.5	1.0	0.095	0.18	0.296	0.314	0.5	1.0	0.095	0.13	0.203	0.25
PCI50C50	KL48	hq	PC0543	lasso	inf	15.3	0.36	0.42	0.62	0.5	14	12	0.00565	5.0	7.0	2457.0	9.0	1.0	0.99	0.39	0.38	5.0	5.0	536.0	3.0	0.99	0.99	0.55	0.55	0.0	1191	0.0	inf	0.3	0.39	0.572	0.328	0.435	0.629	0.5	0.6	0.802	0.376	0.5	0.714	0.39
PCI50C80	KL48	hq	PC0584	lasso	inf	5.2	0.38	0.42	0.71	0.5	13	12	0.00525	5.0	7.0	2458.0	8.0	1.0	0.99	0.4	0.4	5.0	5.0	537.0	2.0	1.0	0.99	0.59	0.59	0.0	1289	0.0	inf	0.286	0.415	0.62	0.324	0.445	0.714	0.5	0.67	0.83	0.326	0.5	0.802	0.4
PCI80C50	KL48	hq	PC1321	lasso	inf	3.02	1.0	0.25	1.0	0.3	3	12	0.00121	3.0	9.0	2466.0	0.0	1.0	1.0	0.4	0.5	3.0	7.0	539.0	0.0	1.0	0.99	0.46	0.54	0.0	1543	0.0	inf	1.0	1.0	1.0	0.163	0.26	0.43	1.0	1.0	1.0	0.166	0.29	0.43	0.4
PCI80C80	KL48	hq	PC1494	lasso	inf	3.02	1.0	0.25	1.0	0.3	3	12	0.00121	3.0	9.0	2466.0	0.0	1.0	1.0	0.4	0.5	3.0	7.0	539.0	0.0	1.0	0.99	0.46	0.54	0.0	1587	0.0	inf	1.0	1.0	1.0	0.14	0.29	0.437	1.0	1.0	1.0	0.14	0.29	0.525	0.4
PCI00C50	KL55	hq	PC0317	lasso	inf	6.03	0.82	0.62	0.8	0.71	22	29	0.00888	18.0	11.0	2445.0	4.0	1.0	0.99	0.71	0.71	12.0	5.0	529.0	3.0	0.99	0.99	0.75	0.74	0.0	824	0.0	inf	0.729	0.8	0.943	0.559	0.605	0.762	0.746	0.795	0.924	0.598	0.695	0.806	0.71
PCI00C80	KL55	hq	PC0345	lasso	inf	6.15	0.82	0.62	0.8	0.71	22	29	0.00888	18.0	11.0	2445.0	4.0	1.0	0.99	0.71	0.71	12.0	5.0	529.0	3.0	0.99	0.99	0.75	0.74	0.0	998	0.0	inf	0.727	0.82	1.0	0.497	0.605	0.753	0.727	0.8	1.0	0.528	0.68	0.82	0.71
PCI50C50	KL55	hq	PC0410	lasso	inf	6.03	0.82	0.62	0.8	0.71	22	29	0.00888	18.0	11.0	2445.0	4.0	1.0	0.99	0.71	0.71	12.0	5.0	529.0	3.0	0.99	0.99	0.75	0.74	0.0	1191	0.0	inf	0.748	0.82	1.0	0.498	0.6	0.703	0.7	0.81	1.0	0.54	0.67	0.754	0.71
PCI50C80	KL55	hq	PC0411	lasso	inf	6.03	0.82	0.62	0.8	0.71	22	29	0.00888	18.0	11.0	2445.0	4.0	1.0	0.99	0.71	0.71	12.0	5.0	529.0	3.0	0.99	0.99	0.75	0.74	0.0	1289	0.0	inf	0.708	0.805	0.934	0.528	0.63	0.741	0.728	0.8	0.915	0.578	0.67	0.775	0.71
PCI80C50	KL55	hq	PC0668	lasso	inf	5.31	0.8	0.41	0.73	0.47	15	29	0.00605	12.0	17.0	2446.0	3.0	1.0	0.99	0.54	0.57	8.0	9.0	529.0	3.0	0.99	0.98	0.57	0.57	0.0	1543	0.0	inf	0.662	0.81	0.905	0.322	0.39	0.536	0.614	0.78	0.886	0.324	0.455	0.58	0.54
PCI80C80	KL55	hq	PC0651	lasso	inf	5.31	0.8	0.41	0.73	0.47	15	29	0.00605	12.0	17.0	2446.0	3.0	1.0	0.99	0.54	0.57	8.0	9.0	529.0	3.0	0.99	0.98	0.57	0.57	0.0	1587	0.0	inf	0.746	0.81	1.0	0.368	0.44	0.574	0.724	0.78	1.0	0.358	0.47	0.572	0.54
PCI00C50	KL57	hq	PC0296	lasso			0.15	0.33	0.2	0.27	26	12	0.0105	4.0	8.0	2444.0	22.0	0.99	0.99	0.21	0.22	3.0	8.0	526.0	12.0	0.98	0.96	0.23	0.22		824			0.057	0.145	0.253	0.114	0.33	0.509	0.086	0.18	0.272	0.114	0.25	0.509	0.21
PCI00C80	KL57	hq	PC0786	lasso			0.4	0.17	0.33	0.09	5	12	0.00202	2.0	10.0	2463.0	3.0	1.0	0.99	0.24	0.26	1.0	10.0	536.0	2.0	1.0	0.98	0.14	0.17		998			0.0	0.33	0.67	0.0	0.14	0.33	0.0	0.5	1.0	0.0	0.14	0.2	0.24
PCI50C50	KL57	hq	PC0782	lasso			0.67	0.33	0.6	0.27	6	12	0.00242	4.0	8.0	2464.0	2.0	1.0	1.0	0.44	0.47	3.0	8.0	536.0	2.0	1.0	0.98	0.37	0.4		1191			0.33	0.67	0.81	0.139	0.33	0.443	0.33	0.67	0.763	0.139	0.31	0.43	0.44
PCI50C80	KL57	hq	PC0629	lasso			0.33	0.33	0.38	0.27	12	12	0.00484	4.0	8.0	2458.0	8.0	1.0	0.99	0.33	0.33	3.0	8.0	533.0	5.0	0.99	0.98	0.32	0.31		1289			0.133	0.33	0.504	0.114	0.27	0.434	0.19	0.355	0.505	0.114	0.235	0.43	0.33
PCI80C50	KL57	hq	PC1087	lasso	inf	0.404	0.67	0.33	0.6	0.27	6	12	0.00242	4.0	8.0	2464.0	2.0	1.0	1.0	0.44	0.47	3.0	8.0	536.0	2.0	1.0	0.98	0.37	0.4	0.0	1543	0.0	inf	0.492	0.67	1.0	0.168	0.33	0.43	0.33	0.585	1.0	0.168	0.29	0.402	0.44
PCI80C80	KL57	hq	PC1100	lasso			0.67	0.33	0.6	0.27	6	12	0.00242	4.0	8.0	2464.0	2.0	1.0	1.0	0.44	0.47	3.0	8.0	536.0	2.0	1.0	0.98	0.37	0.4		1587			0.314	0.635	0.8	0.133	0.33	0.43	0.314	0.635	0.75	0.133	0.29	0.402	0.44
PCI00C50	KL6	hq	PC0313	lasso	inf	4.31	0.57	0.59	0.69	0.61	23	22	0.00928	13.0	9.0	2446.0	10.0	1.0	0.99	0.58	0.57	11.0	7.0	526.0	5.0	0.99	0.98	0.65	0.64	0.0	824	0.0	inf	0.496	0.56	0.691	0.398	0.57	0.695	0.566	0.64	0.732	0.448	0.58	0.697	0.58
PCI00C80	KL6	hq	PC0396	lasso	inf	4.34	0.56	0.45	0.71	0.56	18	22	0.00726	10.0	12.0	2448.0	8.0	1.0	0.99	0.5	0.5	10.0	8.0	527.0	4.0	0.99	0.98	0.63	0.62	0.0	998	0.0	inf	0.456	0.57	0.702	0.328	0.44	0.551	0.598	0.685	0.803	0.379	0.515	0.67	0.5
PCI50C50	KL6	hq	PC0357	lasso	inf	4.83	0.61	0.77	0.71	0.83	28	22	0.0113	17.0	5.0	2445.0	11.0	1.0	0.99	0.68	0.68	15.0	3.0	525.0	6.0	0.99	0.98	0.77	0.76	0.0	1191	0.0	inf	0.498	0.57	0.683	0.669	0.795	0.902	0.54	0.65	0.772	0.697	0.82	0.934	0.68
PCI50C80	KL6	hq	PC0633	lasso	inf	4.06	0.73	0.36	0.78	0.39	11	22	0.00444	8.0	14.0	2453.0	3.0	1.0	0.99	0.48	0.51	7.0	11.0	529.0	2.0	1.0	0.98	0.52	0.54	0.0	1289	0.0	inf	0.57	0.75	1.0	0.267	0.38	0.462	0.67	0.75	1.0	0.266	0.4	0.5	0.48
PCI80C50	KL6	hq	PC0636	lasso	inf	4.16	0.56	0.41	0.75	0.5	16	22	0.00646	9.0	13.0	2449.0	7.0	1.0	0.99	0.47	0.48	9.0	9.0	528.0	3.0	0.99	0.98	0.6	0.6	0.0	1543	0.0	inf	0.437	0.55	0.829	0.248	0.405	0.535	0.563	0.71	0.886	0.298	0.485	0.621	0.47
PCI80C80	KL6	hq	PC0623	lasso	inf	4.35	0.56	0.41	0.75	0.5	16	22	0.00646	9.0	13.0	2449.0	7.0	1.0	0.99	0.47	0.48	9.0	9.0	528.0	3.0	0.99	0.98	0.6	0.6	0.0	1587	0.0	inf	0.436	0.57	0.784	0.329	0.43	0.542	0.5	0.705	0.886	0.358	0.46	0.582	0.47
PCI00C50	KL60	hq	PC0534	lasso	inf	1.05	0.33	0.2	0.14	0.1	9	15	0.00363	3.0	12.0	2457.0	6.0	1.0	0.99	0.25	0.25	1.0	9.0	533.0	6.0	0.99	0.97	0.12	0.11	0.0	824	0.0	inf	0.17	0.355	0.5	0.139	0.2	0.278	0.17	0.2	0.254	0.11	0.14	0.2	0.25
PCI00C80	KL60	hq	PC0416	lasso	inf	2.65	0.4	0.4	0.38	0.3	15	15	0.00605	6.0	9.0	2454.0	9.0	1.0	0.99	0.4	0.4	3.0	7.0	535.0	5.0	0.99	0.98	0.34	0.32	0.0	998	0.0	inf	0.286	0.4	0.513	0.218	0.38	0.57	0.328	0.43	0.505	0.218	0.355	0.509	0.4
PCI50C50	KL60	hq	PC0381	lasso	inf	4.81	0.43	0.67	0.56	0.5	23	15	0.00928	10.0	5.0	2450.0	13.0	0.99	0.99	0.52	0.53	5.0	5.0	535.0	4.0	0.99	0.98	0.53	0.52	0.0	1191	0.0	inf	0.308	0.455	0.504	0.557	0.685	0.8	0.425	0.56	0.575	0.425	0.57	0.71	0.52
PCI50C80	KL60	hq	PC0624	lasso	inf	3.9	0.75	0.4	0.6	0.3	8	15	0.00323	6.0	9.0	2461.0	2.0	1.0	1.0	0.52	0.55	3.0	7.0	537.0	2.0	1.0	0.98	0.4	0.42	0.0	1289	0.0	inf	0.595	0.775	1.0	0.264	0.38	0.572	0.5	0.67	1.0	0.197	0.39	0.505	0.52
PCI80C50	KL60	hq	PC0734	lasso	inf	4.14	0.58	0.47	0.83	0.5	12	15	0.00484	7.0	8.0	2458.0	5.0	1.0	0.99	0.52	0.52	5.0	5.0	538.0	1.0	1.0	0.99	0.62	0.64	0.0	1543	0.0	inf	0.425	0.56	0.8	0.356	0.45	0.582	0.67	0.75	0.83	0.396	0.465	0.572	0.52
PCI80C80	KL60	hq	PC0656	lasso	inf	4.81	0.57	0.53	0.83	0.5	14	15	0.00565	8.0	7.0	2457.0	6.0	1.0	0.99	0.55	0.55	5.0	5.0	538.0	1.0	1.0	0.99	0.62	0.64	0.0	1587	0.0	inf	0.434	0.555	0.673	0.399	0.575	0.674	0.746	0.8	0.83	0.425	0.565	0.753	0.55
PCI00C50	KL61	hq	PC0305	lasso	inf	3.23	0.28	0.33	0.19	0.33	29	24	0.0117	8.0	16.0	2433.0	21.0	0.99	0.99	0.3	0.3	4.0	8.0	521.0	17.0	0.97	0.95	0.24	0.23	0.0	824	0.0	inf	0.238	0.29	0.43	0.27	0.34	0.474	0.15	0.21	0.311	0.248	0.345	0.5	0.3
PCI00C80	KL61	hq	PC0334	lasso	inf	2.84	0.29	0.33	0.2	0.33	28	24	0.0113	8.0	16.0	2434.0	20.0	0.99	0.99	0.31	0.3	4.0	8.0	522.0	16.0	0.97	0.96	0.25	0.24	0.0	998	0.0	inf	0.188	0.285	0.411	0.228	0.33	0.436	0.14	0.225	0.36	0.219	0.315	0.504	0.31
PCI50C50	KL61	hq	PC0388	lasso	inf	2.86	0.28	0.33	0.19	0.33	29	24	0.0117	8.0	16.0	2433.0	21.0	0.99	0.99	0.3	0.3	4.0	8.0	521.0	17.0	0.97	0.95	0.24	0.23	0.0	1191	0.0	inf	0.168	0.27	0.37	0.198	0.3	0.434	0.09	0.195	0.291	0.14	0.33	0.5	0.3
PCI50C80	KL61	hq	PC0391	lasso	inf	3.06	0.29	0.33	0.2	0.33	28	24	0.0113	8.0	16.0	2434.0	20.0	0.99	0.99	0.31	0.3	4.0	8.0	522.0	16.0	0.97	0.96	0.25	0.24	0.0	1289	0.0	inf	0.229	0.32	0.383	0.238	0.34	0.438	0.12	0.24	0.302	0.219	0.33	0.5	0.31
PCI80C50	KL61	hq	PC0429	lasso	inf	2.85	0.28	0.33	0.19	0.33	29	24	0.0117	8.0	16.0	2433.0	21.0	0.99	0.99	0.3	0.3	4.0	8.0	521.0	17.0	0.97	0.95	0.24	0.23	0.0	1543	0.0	inf	0.208	0.28	0.331	0.247	0.33	0.413	0.14	0.195	0.27	0.248	0.33	0.402	0.3
PCI80C80	KL61	hq	PC0440	lasso	inf	3.01	0.29	0.33	0.2	0.33	28	24	0.0113	8.0	16.0	2434.0	20.0	0.99	0.99	0.31	0.3	4.0	8.0	522.0	16.0	0.97	0.96	0.25	0.24	0.0	1587	0.0	inf	0.184	0.28	0.35	0.223	0.36	0.44	0.08	0.21	0.27	0.12	0.38	0.505	0.31
PCI00C50	KL62	hq	PC0240	lasso	inf	4.69	0.69	0.69	0.53	0.62	36	36	0.0145	25.0	11.0	2431.0	11.0	1.0	0.99	0.69	0.69	8.0	5.0	530.0	7.0	0.99	0.98	0.57	0.56	0.0	824	0.0	inf	0.619	0.68	0.754	0.619	0.68	0.83	0.448	0.5	0.578	0.5	0.57	0.781	0.69
PCI00C80	KL62	hq	PC0451	lasso	inf	1.21	1.0	0.42	1.0	0.15	15	36	0.00605	15.0	21.0	2442.0	0.0	1.0	0.99	0.59	0.64	2.0	11.0	536.0	0.0	1.0	0.98	0.26	0.39	0.0	998	0.0	inf	1.0	1.0	1.0	0.297	0.425	0.502	1.0	1.0	1.0	0.17	0.2	0.252	0.59
PCI50C50	KL62	hq	PC0458	lasso	inf	5.94	0.9	0.53	0.78	0.54	21	36	0.00847	19.0	17.0	2440.0	2.0	1.0	0.99	0.67	0.69	7.0	6.0	535.0	2.0	1.0	0.99	0.64	0.64	0.0	1191	0.0	inf	0.816	0.895	1.0	0.406	0.54	0.64	0.667	0.805	1.0	0.4	0.59	0.78	0.67
PCI50C80	KL62	hq	PC0553	lasso	inf	0.932	1.0	0.42	1.0	0.15	15	36	0.00605	15.0	21.0	2442.0	0.0	1.0	0.99	0.59	0.64	2.0	11.0	536.0	0.0	1.0	0.98	0.26	0.39	0.0	1289	0.0	inf	1.0	1.0	1.0	0.32	0.425	0.5	1.0	1.0	1.0	0.169	0.18	0.25	0.59
PCI80C50	KL62	hq	PC0562	lasso	inf	6.49	0.9	0.5	0.75	0.46	20	36	0.00807	18.0	18.0	2440.0	2.0	1.0	0.99	0.64	0.67	6.0	7.0	535.0	2.0	1.0	0.98	0.57	0.58	0.0	1543	0.0	inf	0.829	0.875	0.93	0.428	0.52	0.57	0.6	0.71	0.86	0.33	0.45	0.6	0.64
PCI80C80	KL62	hq	PC0735	lasso	inf	2.49	1.0	0.36	1.0	0.15	13	36	0.00525	13.0	23.0	2442.0	0.0	1.0	0.99	0.53	0.6	2.0	11.0	536.0	0.0	1.0	0.98	0.26	0.39	0.0	1587	0.0	inf	1.0	1.0	1.0	0.25	0.365	0.401	1.0	1.0	1.0	0.146	0.19	0.29	0.53
PCI00C50	KL64	hq	PC0172	lasso	inf	2.42	0.31	0.45	0.31	0.61	77	53	0.0311	24.0	29.0	2372.0	53.0	0.98	0.97	0.37	0.36	11.0	7.0	508.0	25.0	0.95	0.94	0.41	0.41	0.0	824	0.0	inf	0.269	0.315	0.402	0.399	0.45	0.543	0.278	0.325	0.41	0.5	0.6	0.694	0.37
PCI00C80	KL64	hq	PC0184	lasso	inf	2.19	0.32	0.49	0.23	0.44	80	53	0.0323	26.0	27.0	2371.0	54.0	0.98	0.97	0.39	0.38	8.0	10.0	504.0	27.0	0.95	0.93	0.3	0.29	0.0	998	0.0	inf	0.27	0.33	0.38	0.459	0.525	0.563	0.24	0.275	0.331	0.438	0.5	0.582	0.39
PCI50C50	KL64	hq	PC0299	lasso	inf	6.69	0.54	0.49	0.47	0.44	48	53	0.0194	26.0	27.0	2403.0	22.0	0.99	0.98	0.51	0.51	8.0	10.0	522.0	9.0	0.98	0.97	0.45	0.44	0.0	1191	0.0	inf	0.499	0.58	0.65	0.448	0.525	0.6	0.497	0.545	0.73	0.44	0.5	0.57	0.51
PCI50C80	KL64	hq	PC0299	lasso	inf	6.46	0.54	0.49	0.47	0.44	48	53	0.0194	26.0	27.0	2403.0	22.0	0.99	0.98	0.51	0.51	8.0	10.0	522.0	9.0	0.98	0.97	0.45	0.44	0.0	1289	0.0	inf	0.44	0.545	0.62	0.39	0.49	0.562	0.426	0.54	0.642	0.408	0.47	0.622	0.51
PCI80C50	KL64	hq	PC0319	lasso	inf	7.29	0.55	0.49	0.5	0.44	47	53	0.019	26.0	27.0	2404.0	21.0	0.99	0.98	0.52	0.51	8.0	10.0	523.0	8.0	0.98	0.97	0.47	0.45	0.0	1543	0.0	inf	0.478	0.535	0.631	0.43	0.465	0.58	0.455	0.545	0.677	0.394	0.47	0.533	0.52
PCI80C80	KL64	hq	PC0314	lasso	inf	7.43	0.55	0.49	0.5	0.44	47	53	0.019	26.0	27.0	2404.0	21.0	0.99	0.98	0.52	0.51	8.0	10.0	523.0	8.0	0.98	0.97	0.47	0.45	0.0	1587	0.0	inf	0.48	0.57	0.632	0.439	0.5	0.591	0.457	0.575	0.732	0.4	0.485	0.601	0.52
PCI00C50	KL7	hq	PC0272	lasso	inf	4.11	0.26	0.41	0.35	0.64	35	22	0.0141	9.0	13.0	2430.0	26.0	0.99	0.98	0.32	0.32	7.0	4.0	526.0	13.0	0.98	0.97	0.45	0.46	0.0	824	0.0	inf	0.168	0.26	0.352	0.249	0.42	0.562	0.245	0.34	0.443	0.378	0.62	0.802	0.32
PCI00C80	KL7	hq	PC0307	lasso	inf	4.8	0.28	0.41	0.41	0.64	32	22	0.0129	9.0	13.0	2433.0	23.0	0.99	0.99	0.33	0.33	7.0	4.0	529.0	10.0	0.98	0.97	0.5	0.5	0.0	998	0.0	inf	0.177	0.26	0.352	0.284	0.425	0.474	0.248	0.38	0.502	0.428	0.61	0.714	0.33
PCI50C50	KL7	hq	PC0385	lasso	inf	5.31	0.35	0.41	0.5	0.64	26	22	0.0105	9.0	13.0	2439.0	17.0	0.99	0.99	0.38	0.37	7.0	4.0	532.0	7.0	0.99	0.98	0.56	0.55	0.0	1191	0.0	inf	0.234	0.33	0.421	0.208	0.38	0.542	0.296	0.48	0.583	0.428	0.57	0.704	0.38
PCI50C80	KL7	hq	PC0393	lasso	inf	5.32	0.36	0.41	0.54	0.64	25	22	0.0101	9.0	13.0	2440.0	16.0	0.99	0.99	0.38	0.38	7.0	4.0	533.0	6.0	0.99	0.98	0.59	0.58	0.0	1289	0.0	inf	0.249	0.34	0.474	0.327	0.4	0.474	0.3	0.525	0.718	0.494	0.6	0.71	0.38
PCI80C50	KL7	hq	PC0675	lasso	inf	6.04	0.5	0.32	0.86	0.55	14	22	0.00565	7.0	15.0	2449.0	7.0	1.0	0.99	0.39	0.39	6.0	5.0	537.0	1.0	1.0	0.99	0.67	0.68	0.0	1543	0.0	inf	0.33	0.45	0.672	0.218	0.31	0.44	0.595	0.8	1.0	0.33	0.565	0.67	0.39
PCI80C80	KL7	hq	PC0688	lasso	inf	6.04	0.5	0.32	0.86	0.55	14	22	0.00565	7.0	15.0	2449.0	7.0	1.0	0.99	0.39	0.39	6.0	5.0	537.0	1.0	1.0	0.99	0.67	0.68	0.0	1587	0.0	inf	0.33	0.45	0.601	0.196	0.31	0.455	0.6	0.815	1.0	0.376	0.5	0.626	0.39
PCI00C50	KL8	hq	PC0071	lasso	inf	3.14	0.15	0.74	0.17	0.73	177	35	0.0714	26.0	9.0	2292.0	151.0	0.94	0.94	0.25	0.31	11.0	4.0	479.0	55.0	0.9	0.89	0.28	0.32	0.0	824	0.0	inf	0.13	0.15	0.17	0.698	0.755	0.82	0.14	0.175	0.221	0.67	0.75	0.82	0.25
PCI00C80	KL8	hq	PC0475	lasso	inf	11.2	1.0	0.4	1.0	0.4	14	35	0.00565	14.0	21.0	2443.0	0.0	1.0	0.99	0.57	0.63	6.0	9.0	534.0	0.0	1.0	0.98	0.57	0.63	0.0	998	0.0	inf	1.0	1.0	1.0	0.298	0.405	0.452	1.0	1.0	1.0	0.304	0.38	0.503	0.57
PCI50C50	KL8	hq	PC0326	lasso	inf	11.4	0.83	0.71	0.83	0.67	30	35	0.0121	25.0	10.0	2438.0	5.0	1.0	0.99	0.77	0.77	10.0	5.0	532.0	2.0	1.0	0.99	0.74	0.74	0.0	1191	0.0	inf	0.778	0.83	0.903	0.65	0.7	0.773	0.776	0.81	0.891	0.599	0.67	0.781	0.77
PCI50C80	KL8	hq	PC0396	lasso	inf	9.36	0.78	0.51	0.82	0.6	23	35	0.00928	18.0	17.0	2438.0	5.0	1.0	0.99	0.62	0.63	9.0	6.0	532.0	2.0	1.0	0.99	0.69	0.69	0.0	1289	0.0	inf	0.708	0.815	0.934	0.426	0.51	0.61	0.708	0.83	0.896	0.45	0.58	0.781	0.62
PCI80C50	KL8	hq	PC0671	lasso	inf	7.38	1.0	0.4	1.0	0.4	14	35	0.00565	14.0	21.0	2443.0	0.0	1.0	0.99	0.57	0.63	6.0	9.0	534.0	0.0	1.0	0.98	0.57	0.63	0.0	1543	0.0	inf	1.0	1.0	1.0	0.298	0.385	0.482	1.0	1.0	1.0	0.358	0.435	0.553	0.57
PCI80C80	KL8	hq	PC0694	lasso	inf	7.37	1.0	0.4	1.0	0.4	14	35	0.00565	14.0	21.0	2443.0	0.0	1.0	0.99	0.57	0.63	6.0	9.0	534.0	0.0	1.0	0.98	0.57	0.63	0.0	1587	0.0	inf	1.0	1.0	1.0	0.32	0.37	0.472	1.0	1.0	1.0	0.308	0.36	0.55	0.57
PCI00C50	KL1	lq	PC0799	lasso	inf	0.383	0.88	0.25	0.5	0.07	8	28	0.00318	7.0	21.0	2488.0	1.0	1.0	0.99	0.39	0.47	1.0	14.0	533.0	1.0	1.0	0.97	0.12	0.18	0.0	1207	0.0	inf	0.794	0.86	1.0	0.12	0.27	0.33	0.5	0.5	1.0	0.08	0.095	0.121	0.39
PCI00C80	KL1	lq	PC0343	lasso	inf	4.09	0.39	0.64	0.44	0.73	46	28	0.0183	18.0	10.0	2461.0	28.0	0.99	0.98	0.48	0.49	11.0	4.0	521.0	14.0	0.97	0.97	0.55	0.55	0.0	1481	0.0	inf	0.309	0.39	0.47	0.557	0.625	0.71	0.348	0.425	0.502	0.598	0.715	0.9	0.48
PCI50C50	KL1	lq	PC0484	lasso	inf	3.85	0.38	0.43	0.48	0.67	32	28	0.0127	12.0	16.0	2469.0	20.0	0.99	0.99	0.4	0.39	10.0	5.0	524.0	11.0	0.98	0.97	0.56	0.55	0.0	1688	0.0	inf	0.289	0.36	0.472	0.349	0.44	0.56	0.36	0.47	0.542	0.538	0.63	0.752	0.4
PCI50C80	KL1	lq	PC1092	lasso			0.88	0.25	0.5	0.07	8	28	0.00318	7.0	21.0	2488.0	1.0	1.0	0.99	0.39	0.47	1.0	14.0	533.0	1.0	1.0	0.97	0.12	0.18		1834			0.75	0.83	1.0	0.17	0.255	0.331	0.5	0.5	1.0	0.08	0.09	0.112	0.39
PCI80C50	KL1	lq	PC1302	lasso	inf	0.592	0.88	0.25	0.5	0.07	8	28	0.00318	7.0	21.0	2488.0	1.0	1.0	0.99	0.39	0.47	1.0	14.0	533.0	1.0	1.0	0.97	0.12	0.18	0.0	2166	0.0	inf	0.785	1.0	1.0	0.146	0.255	0.336	0.5	1.0	1.0	0.08	0.09	0.121	0.39
PCI80C80	KL1	lq	PC1290	lasso	inf	0.206	0.88	0.25	0.5	0.07	8	28	0.00318	7.0	21.0	2488.0	1.0	1.0	0.99	0.39	0.47	1.0	14.0	533.0	1.0	1.0	0.97	0.12	0.18	0.0	2240	0.0	inf	0.67	0.845	1.0	0.12	0.245	0.352	0.5	0.5	1.0	0.08	0.095	0.12	0.39
PCI00C50	KL10	lq	PC0604	lasso			0.58	0.23	0.25	0.07	12	31	0.00477	7.0	24.0	2481.0	5.0	1.0	0.99	0.33	0.36	1.0	14.0	531.0	3.0	0.99	0.97	0.11	0.12		1207			0.5	0.585	0.783	0.19	0.24	0.32	0.25	0.33	0.525	0.08	0.085	0.111	0.33
PCI00C80	KL10	lq	PC0732	lasso			0.58	0.23	0.25	0.07	12	31	0.00477	7.0	24.0	2481.0	5.0	1.0	0.99	0.33	0.36	1.0	14.0	531.0	3.0	0.99	0.97	0.11	0.12		1481			0.399	0.565	0.75	0.138	0.245	0.331	0.25	0.33	0.5	0.07	0.09	0.1	0.33
PCI50C50	KL10	lq	PC0844	lasso	inf	1.31	0.91	0.32	1.0	0.47	11	31	0.00437	10.0	21.0	2485.0	1.0	1.0	0.99	0.47	0.54	7.0	8.0	534.0	0.0	1.0	0.99	0.64	0.68	0.0	1688	0.0	inf	0.828	0.885	1.0	0.25	0.3	0.41	0.828	1.0	1.0	0.309	0.435	0.502	0.47
PCI50C80	KL10	lq	PC0896	lasso	inf	1.31	0.91	0.32	1.0	0.47	11	31	0.00437	10.0	21.0	2485.0	1.0	1.0	0.99	0.47	0.54	7.0	8.0	534.0	0.0	1.0	0.99	0.64	0.68	0.0	1834	0.0	inf	0.828	0.89	1.0	0.269	0.35	0.443	1.0	1.0	1.0	0.328	0.455	0.64	0.47
PCI80C50	KL10	lq	PC1050	lasso	inf	1.8	0.91	0.32	1.0	0.47	11	31	0.00437	10.0	21.0	2485.0	1.0	1.0	0.99	0.47	0.54	7.0	8.0	534.0	0.0	1.0	0.99	0.64	0.68	0.0	2166	0.0	inf	0.83	0.88	1.0	0.228	0.32	0.393	0.992	1.0	1.0	0.328	0.455	0.609	0.47
PCI80C80	KL10	lq	PC1033	lasso	inf	9.5	0.91	0.32	1.0	0.47	11	31	0.00437	10.0	21.0	2485.0	1.0	1.0	0.99	0.47	0.54	7.0	8.0	534.0	0.0	1.0	0.99	0.64	0.68	0.0	2240	0.0	inf	0.828	0.88	1.0	0.238	0.33	0.44	0.99	1.0	1.0	0.33	0.42	0.56	0.47
PCI00C50	KL103	lq	PC0960	lasso			0.4	0.18	0.33	0.1	5	11	0.00199	2.0	9.0	2503.0	3.0	1.0	1.0	0.25	0.27	1.0	9.0	537.0	2.0	1.0	0.98	0.15	0.17		1207			0.238	0.45	1.0	0.114	0.2	0.29	0.314	0.33	1.0	0.095	0.13	0.172	0.25
