MGG_K_locus,completeness,total_SCs,KASPAH_REF_SCs,other_SCs
KL8,79.14,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,98.54,15,1,14
KL8,95.59,15,1,14
KL8,86,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,99.27,15,1,14
KL8,99.27,15,1,14
KL8,95.31,15,1,14
KL8,95.31,15,1,14
KL8,91.36,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,97.83,15,1,14
KL8,96.53,15,1,14
KL8,77.84,15,1,14
KL8,71.53,15,1,14
KL8,100,15,1,14
KL8,81.93,15,1,14
KL8,76.66,15,1,14
KL8,72.54,15,1,14
KL8,66.88,15,1,14
KL8,50.78,15,1,14
KL8,94.26,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,79.96,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,79.78,15,1,14
KL8,67.02,15,1,14
KL8,65.51,15,1,14
KL8,62.5,15,1,14
KL8,79.15,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,88.66,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,98.21,15,1,14
KL8,89.15,15,1,14
KL8,87.63,15,1,14
KL8,77.02,15,1,14
KL8,72.51,15,1,14
KL8,71.09,15,1,14
KL8,64.81,15,1,14
KL8,53.87,15,1,14
KL8,50.81,15,1,14
KL8,96.52,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,99.27,15,1,14
KL8,99.27,15,1,14
KL8,96.7,15,1,14
KL8,95.69,15,1,14
KL8,95.59,15,1,14
KL8,82.09,15,1,14
KL8,81.72,15,1,14
KL8,70.14,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,100,15,1,14
KL8,75.34,15,1,14
